user_id,first_seen
1217829183,2025-06-16 15:56:55
1217829183,2025-07-23 11:09:52
1217829183,2025-07-23 11:14:32
1217829183,2025-07-23 11:17:04
1217829183,2025-07-24 10:50:10
1217829183,2025-07-24 11:00:17
1217829183,2025-07-24 11:07:50
6942552966,2025-07-24 11:14:22
6942552966,2025-07-24 12:02:51
6942552966,2025-07-29 14:01:47
6942552966,2025-07-29 14:23:39
6942552966,2025-07-30 06:41:33
6942552966,2025-07-30 21:58:00
6942552966,2025-07-30 23:01:16
6942552966,2025-07-30 23:03:06
6942552966,2025-07-30 23:05:23
6942552966,2025-07-30 23:06:41
6942552966,2025-07-30 23:08:56
6942552966,2025-07-30 23:22:38
6942552966,2025-07-31 01:16:05
6942552966,2025-07-31 01:49:48
6942552966,2025-07-31 01:52:11
6942552966,2025-07-31 01:54:30
6942552966,2025-07-31 03:17:20
6942552966,2025-07-31 03:34:56
6942552966,2025-07-31 03:40:30
6942552966,2025-07-31 03:44:28
6942552966,2025-07-31 03:59:15
6942552966,2025-07-31 04:06:04
